"Libellé","Situation mensuelle du budget de l'État - Dépenses - Cumul depuis le début de l'année","Codes","Situation mensuelle du budget de l'État - Recettes - Cumul depuis le début de l'année","Codes","Situation mensuelle du budget de l'État - Solde des comptes spéciaux - Cumul depuis le début de l'année","Codes","Situation mensuelle du budget de l'État - Solde général d'exécution - Cumul depuis le début de l'année","Codes"
"2009-01","22164","A","17866","A","-3836","A","-8134","A"
"2009-02","57524","A","32095","A","-7134","A","-32563","A"
"2009-03","86751","A","51054","A","-10621","A","-46318","A"
"2009-04","127040","A","70236","A","-14787","A","-71591","A"
"2009-05","152066","A","90509","A","-20562","A","-82119","A"
"2009-06","176578","A","117322","A","-23145","A","-82401","A"
"2009-07","215245","A","133762","A","-27316","A","-108799","A"
"2009-08","237942","A","141530","A","-30943","A","-127355","A"
"2009-09","263906","A","169661","A","-31353","A","-125598","A"
"2009-10","303162","A","186243","A","-17705","A","-134624","A"
"2009-11","329689","A","203032","A","-14705","A","-141362","A"
"2009-12","367125","A","237219","A","-8123","A","-138029","A"
"2010-01","27326","A","20008","A","-1888","A","-9206","A"
"2010-02","57534","A","39430","A","-3700","A","-21804","A"
"2010-03","86161","A","61560","A","-4276","A","-28877","A"
"2010-04","130563","A","81562","A","-7199","A","-56200","A"
"2010-05","157426","A","102371","A","-12845","A","-67900","A"
"2010-06","189001","A","141655","A","-14326","A","-61672","A"
"2010-07","236139","A","159676","A","-16607","A","-93070","A"
"2010-08","270129","A","169533","A","-21537","A","-122133","A"
"2010-09","310140","A","204390","A","-18416","A","-124166","A"
"2010-10","354344","A","223635","A","-2373","A","-133082","A"
"2010-11","382670","A","241568","A","446","A","-140656","A"
"2010-12","425691","A","274888","A","2000","A","-148803","A"
"2011-01","26309","A","20491","A","-7629","A","-13447","A"
"2011-02","57036","A","40163","A","-11125","A","-27998","A"
"2011-03","82309","A","65212","A","-16498","A","-33595","A"
"2011-04","128188","A","88584","A","-21750","A","-61354","A"
"2011-05","152729","A","108775","A","-24416","A","-68370","A"
"2011-06","179066","A","139567","A","-21850","A","-61349","A"
"2011-07","219739","A","160644","A","-27478","A","-86573","A"
"2011-08","242971","A","172021","A","-31827","A","-102777","A"
"2011-09","269968","A","207253","A","-29965","A","-92680","A"
"2011-10","310786","A","229142","A","-17727","A","-99371","A"
"2011-11","335262","A","246974","A","-8864","A","-97152","A"
"2011-12","365318","A","275226","A","-626","A","-90718","A"
"2012-01","32846","A","23368","A","-3051","A","-12529","A"
"2012-02","63606","A","45350","A","-5973","A","-24229","A"
"2012-03","87196","A","68155","A","-10370","A","-29411","A"
"2012-04","133625","A","90964","A","-17242","A","-59903","A"
"2012-05","159484","A","111165","A","-21240","A","-69559","A"
"2012-06","185214","A","145318","A","-16782","A","-56679","A"
"2012-07","226019","A","162261","A","-21782","A","-85541","A"
"2012-08","248467","A","177483","A","-26688","A","-97672","A"
"2012-09","273306","A","211642","A","-23295","A","-84959","A"
"2012-10","320122","A","231024","A","-5509","A","-94607","A"
"2012-11","347648","A","250781","A","-6499","A","-103366","A"
"2012-12","374171","A","286014","A","1006","A","-87150","A"
"2013-01","32139","A","21913","A","-2591","A","-12817","A"
"2013-02","64407","A","44075","A","-6788","A","-27121","A"
"2013-03","90248","A","69626","A","-10404","A","-31026","A"
"2013-04","140449","A","90835","A","-17159","A","-66773","A"
"2013-05","169359","A","117570","A","-20850","A","-72639","A"
"2013-06","196206","A","152654","A","-15762","A","-59314","A"
"2013-07","235451","A","176448","A","-21817","A","-80820","A"
"2013-08","257534","A","190811","A","-26889","A","-93612","A"
"2013-09","282812","A","225928","A","-23947","A","-80831","A"
"2013-10","325520","A","244443","A","-4971","A","-86048","A"
"2013-11","350294","A","265245","A","-1934","A","-86983","A"
"2013-12","376669","A","301240","A","561","A","-74868","A"
"2014-01","32636","A","23239","A","-3335","A","-12732","A"
"2014-02","64762","A","46791","A","-7711","A","-25682","A"
"2014-03","88695","A","73703","A","-13025","A","-28017","A"
"2014-04","138612","A","93043","A","-18600","A","-64169","A"
"2014-05","166623","A","123963","A","-21669","A","-64329","A"
"2014-06","194351","A","151569","A","-16623","A","-59405","A"
"2014-07","233509","A","170114","A","-20700","A","-84095","A"
"2014-08","253902","A","186137","A","-26314","A","-94079","A"
"2014-09","277985","A","220746","A","-23259","A","-80498","A"
"2014-10","317872","A","237612","A","-4450","A","-84710","A"
"2014-11","343357","A","256302","A","-3780","A","-90835","A"
"2014-12","377656","A","291946","A","155","A","-85555","A"
"2015-01","31087","A","24761","A","-3072","A","-9398","A"
"2015-02","64199","A","47935","A","-7185","A","-23449","A"
"2015-03","88530","A","74250","A","-12006","A","-26286","A"
"2015-04","134978","A","93328","A","-18185","A","-59836","A"
"2015-05","165471","A","123232","A","-21694","A","-63933","A"
"2015-06","193846","A","152428","A","-17076","A","-58494","A"
"2015-07","229270","A","172984","A","-23519","A","-79806","A"
"2015-08","249948","A","189174","A","-28877","A","-89651","A"
"2015-09","275281","A","226467","A","-25720","A","-74534","A"
"2015-10","314974","A","243263","A","-4486","A","-76197","A"
"2015-11","339866","A","261582","A","-4486","A","-82771","A"
"2015-12","371805","A","299656","A","1624","A","-70524","A"
"2016-01","31562","A","26399","A","-4004","A","-9167","A"
"2016-02","60578","A","48428","A","-13432","A","-25582","A"
"2016-03","85700","A","76690","A","-18476","A","-27485","A"
"2016-04","131325","A","98509","A","-23644","A","-56460","A"
"2016-05","165301","A","126368","A","-26735","A","-65668","A"
"2016-06","193896","A","155102","A","-23004","A","-61798","A"
"2016-07","228181","A","177444","A","-30109","A","-80845","A"
"2016-08","252495","A","192657","A","-36206","A","-96044","A"
"2016-09","277351","A","229009","A","-34675","A","-83017","A"
"2016-10","318318","A","251758","A","-18979","A","-85539","A"
"2016-11","345671","A","265678","A","-13331","A","-93324","A"
"2016-12","379818","A","304019","A","6819","A","-68979","A"
"2017-01","33381","A","25417","A","2568","A","-5396","A"
"2017-02","62720","A","50732","A","-9486","A","-21474","A"
"2017-03","88455","A","78340","A","-19449","A","-29564","A"
"2017-04","134511","A","100253","A","-23666","A","-57925","A"
"2017-05","167313","A","127834","A","-26969","A","-66448","A"
"2017-06","201504","A","160155","A","-20913","A","-62262","A"
"2017-07","236874","A","181702","A","-28671","A","-83843","A"
"2017-08","262390","A","201499","A","-32109","A","-93000","A"
"2017-09","287921","A","238278","A","-26620","A","-76264","A"
"2017-10","328338","A","260080","A","-8877","A","-77135","A"
"2017-11","355266","A","280500","A","-9980","A","-84745","A"
"2017-12","386935","A","313589","A","5564","A","-67783","A"
"2018-01","29518","A","21557","A","-2794","A","-10756","A"
"2018-02","63276","A","48934","A","-14138","A","-28480","A"
"2018-03","88567","A","76247","A","-20733","A","-33054","A"
"2018-04","133192","A","98183","A","-19330","A","-54338","A"
"2018-05","164737","A","132552","A","-22886","A","-55072","A"
"2018-06","199902","A","159438","A","-18402","A","-58865","A"
"2018-07","239115","A","182109","A","-25752","A","-82758","A"
"2018-08","263687","A","197699","A","-31310","A","-97298","A"
"2018-09","291011","A","231881","A","-28013","A","-87143","A"
"2018-10","332411","A","254043","A","-8613","A","-86981","A"
"2018-11","361097","A","272214","A","-6758","A","-95641","A"
"2018-12","390692","A","313815","A","824","A","-76053","A"
"2019-01","31633","A","19337","A","-4960","A","-17255","A"
"2019-02","64094","A","36650","A","-9457","A","-36900","A"
"2019-03","90847","A","65664","A","-15523","A","-40706","A"
"2019-04","134564","A","88720","A","-19752","A","-67215","A"
"2019-05","171168","A","109773","A","-22502","A","-83897","A"
"2019-06","204384","A","143774","A","-16728","A","-77338","A"
"2019-07","243994","A","159239","A","-24988","A","-109744","A"
"2019-08","272970","A","180681","A","-30854","A","-123142","A"
"2019-09","298970","A","212808","A","-22851","A","-109013","A"
"2019-10","340642","A","238177","A","-5211","A","-107676","A"
"2019-11","366107","A","256390","A","-4213","A","-113930","A"
"2019-12","397983","A","301071","A","4075","A","-92837","A"
"2020-01","35209","A","21060","A","-5816","A","-19965","A"
"2020-02","64840","A","40013","A","-10379","A","-35206","A"
"2020-03","98953","A","61837","A","-15386","A","-52502","A"
"2020-04","149731","A","80064","A","-22457","A","-92123","A"
"2020-05","189909","A","99558","A","-27501","A","-117851","A"
"2020-06","230554","A","129266","A","-23591","A","-124878","A"
"2020-07","269299","A","149249","A","-30986","A","-151036","A"
"2020-08","299322","A","168075","A","-34438","A","-165686","A"
"2020-09","328863","A","191201","A","-23929","A","-161590","A"
"2020-10","371519","A","219282","A","-7615","A","-159852","A"
"2020-11","410333","A","238949","A","-5464","A","-176848","A"
"2020-12","455368","A","282690","A","-5421","A","-178099","A"
"2021-01","37927","A","22458","A","-6387","A","-21856","A"
"2021-02","75412","A","39925","A","-11980","A","-47466","A"
"2021-03","112231","A","63375","A","-11214","A","-60070","A"
"2021-04","163476","A","86243","A","-14134","A","-91367","A"
"2021-05","211921","A","110982","A","-17847","A","-118786","A"
"2021-06","259262","A","141140","A","-13165","A","-131287","A"
"2021-07","304524","A","156015","A","-18129","A","-166637","A"
"2021-08","338193","A","180992","A","-20844","A","-178045","A"
"2021-09","367291","A","215098","A","-22926","A","-175119","A"
"2021-10","412787","A","243894","A","-2726","A","-171620","A"
"2021-11","447260","A","272133","A","-5892","A","-181019","A"
"2021-12","496472","A","324954","A","786","A","-170732","A"
"2022-01","35417","A","23529","A","-4039","A","-15926","A"
